"state","county","loaccgro","fasfoo","relprimilk","diab","obesrate","fitplace","povrate","medinc"
"AL","Autauga",32.062255,0.523513,0.970305,13,34.1,0.090261,12.7,56580
"AL","Baldwin",16.767489,1.104387,1.01769,10.4,27.4,0.124931,12.9,52387
"AL","Barbour",22.10556,0.55789,1.136671,18.4,44.4,0,32,31433
"AL","Bibb",4.230324,0.222163,0.970305,14.8,40.3,0.044433,22.2,40767
"AL","Blount",6.49738,0.25988,0.970305,14.1,34.6,0.051976,14.7,50487
"AL","Bullock",37.950342,0.092902,0.970305,19.6,43,0,39.6,28251
"AL","Butler",6.226805,0.492708,0.970305,17.7,36.3,0.049271,25.8,33868
"AL","Calhoun",23.433852,0.664274,0.970305,14.9,32.2,0.060389,20,42091
"AL","Chambers",20.843214,0.469539,0.856724,16.4,39.7,0,22.4,35560
"AL","Cherokee",0.398332,0.422476,0.856724,13.3,33.6,0.038407,19.4,39144
"AL","Chilton",3.368007,0.409733,0.970305,13.3,35.9,0.045526,20.2,42767
"AL","Choctaw",19.502815,0.375291,1.136671,18.1,40.8,0,24.4,35089
"AL","Clarke",22.114839,0.601323,1.136671,16.3,38.2,0.120265,22.2,37317
"AL","Clay",4.613415,0.442739,0.970305,14.6,37.3,0,18.4,38908
"AL","Cleburne",5.273411,0.132626,0.856724,12.6,30,0.066313,18.9,42136
"AL","Coffee",20.994006,0.550001,1.136671,15.9,33.7,0.078572,16.2,46858
"AL","Colbert",20.385953,0.696698,0.970305,18.7,37.5,0.110005,18.1,41171
"AL","Conecuh",26.900207,0.315706,1.136671,17.4,36.4,0,28.3,29981
"AL","Coosa",24.516252,0,0.970305,17.3,39.7,0,20.3,36078
"AL","Covington",9.980464,0.474759,0.970305,14.7,34,0.079126,22.3,36355
"AL","Crenshaw",37.96179,0.429277,0.970305,16.5,39.7,0,19.9,36759
"AL","Cullman",7.338097,0.590486,0.970305,14.4,33.4,0.036905,19.4,39290
"AL","Dale",27.933713,0.606257,1.136671,14.1,36.5,0.040417,18.5,45294
"AL","Dallas",17.435091,0.359617,0.970305,19,40.8,0.047949,34.6,29682
"AL","DeKalb",3.768655,0.43622,0.970305,13.4,30.4,0.042215,20.6,37305
"AL","Elmore",18.995961,0.469269,0.970305,13.4,35.4,0.049397,14,53548
"AL","Escambia",13.201742,0.53004,1.136671,17.8,37.7,0.053004,24.4,36840
"AL","Etowah",22.301855,0.55056,0.970305,16.8,35.1,0.08693,19,42145
"AL","Fayette",2.362895,0.533365,0.970305,15.1,33.7,0,20.4,37085
"AL","Franklin",11.55514,0.506313,0.970305,13.9,33.2,0.094934,21.1,38535
"AL","Geneva",2.259027,0.4118,1.136671,13.9,34.1,0,22.4,36289
"AL","Greene",32.758331,0.233836,0.970305,21,46.3,0,37.7,25398
"AL","Hale",11.830846,0.263435,0.970305,16,40.4,0.065859,28.5,35470
"AL","Henry",4.655372,0.639907,1.136671,18.7,35.8,0,17,42501
"AL","Houston",18.06134,0.739013,1.136671,13.7,32.8,0.067183,18.3,43568
"AL","Jackson",7.926366,0.474699,1.136671,14.9,32,0,18.4,40201
"AL","Jefferson",31.232876,0.569013,0.970305,13,33.2,0.105933,18,48415
"AL","Lamar",1.578911,0.709925,1.136671,14.9,33.6,0,24.7,36520
"AL","Lauderdale",13.457266,0.751912,0.970305,14.2,32.9,0.096674,17.3,43008
"AL","Lawrence",4.799919,0.507811,0.970305,15.6,35.5,0.059742,18.7,41771
"AL","Lee",26.265009,0.706622,1.136671,9.5,29,0.051862,21,46442
"AL","Limestone",11.281947,0.429577,0.970305,12.6,32.9,0.066089,14.3,55060
"AL","Lowndes",22.478665,0.189036,0.970305,23.5,45.1,0.094518,35.2,31117
"AL","Macon",37.529271,0.10296,0.970305,18.4,44.7,0,32.2,29522
"AL","Madison",26.445974,0.645163,0.970305,11.5,32.3,0.139881,13.3,59117
"AL","Marengo",24.373451,0.447539,1.136671,20.2,40.3,0.049726,23.3,35389
"AL","Marion",6.269274,0.660698,0.970305,18.7,35.5,0.06607,19.8,34977
"AL","Marshall",11.271674,0.634008,0.970305,12.8,33.2,0.042267,20.1,40599
"AL","Mobile",25.126066,0.522737,1.01769,15.6,37.1,0.072268,18.4,42530
"AL","Monroe",24.760017,0.455643,1.136671,17.8,35.3,0.045564,28.6,35163
"AL","Montgomery",28.854111,0.623372,0.970305,13.5,34.8,0.084001,22.8,42666
"AL","Morgan",12.983747,0.560168,0.970305,12.6,31.6,0.075246,16.4,47234
"AL","Perry",8.323572,0.610625,0.970305,21.7,43,0,40,26218
"AL","Pickens",2.679726,0.294623,1.136671,16.4,36.4,0.049104,24.3,33160
"AL","Pike",13.786125,0.6589,0.970305,13.5,38.4,0.0599,25.9,34442
"AL","Randolph",14.728012,0.310573,0.856724,14.9,30.9,0,18.7,37333
"AL","Russell",11.758656,0.352302,1.136671,12.9,36.4,0.050329,23,36124
"AL","Shelby",24.154762,0.638746,0.970305,8.7,30.1,0.130653,8.5,70879
"AL","St. Clair",5.457203,0.507515,0.970305,12.8,33,0.023069,12.4,53558
"AL","Sumter",16.744354,0.455719,1.136671,20.1,40.3,0.075953,33.2,25931
"AL","Talladega",13.413845,0.454981,0.970305,15.3,39,0,22.4,37911
"AL","Tallapoosa",8.373536,0.412972,0.970305,13.7,36.9,0.024293,21.7,39051
