"FIPS","State","County","PCT_DIABETES_ADULTS08","PCT_DIABETES_ADULTS13","PCT_OBESE_ADULTS08","PCT_OBESE_ADULTS13","PCT_HSPA15","RECFAC09","RECFAC14","PCH_RECFAC_09_14","RECFACPTH09","RECFACPTH14","PCH_RECFACPTH_09_14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01001","AL","Autauga","11.4","13","31.5","34.1","25.4","4","5","25","0.073889","0.090261","22.156783","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01003","AL","Baldwin","9.8","10.4","26.2","27.4","25.4","18","25","38.888889","0.100331","0.124931","24.518392","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01005","AL","Barbour","13.6","18.4","37.6","44.4","25.4","1","0","-100","0.036157","0","-100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01007","AL","Bibb","11.1","14.8","32.3","40.3","25.4","1","1","0","0.04359","0.044433","1.932818","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01009","AL","Blount","11.4","14.1","31.9","34.6","25.4","3","3","0","0.052319","0.051976","-0.654897","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01011","AL","Bullock","14.9","19.6","37.8","43","25.4","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01013","AL","Butler","15.1","17.7","36.8","36.3","25.4","0","1","","0","0.049271","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01015","AL","Calhoun","14.5","14.9","33.5","32.2","25.4","7","7","0","0.05914","0.060389","2.111011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01017","AL","Chambers","16.1","16.4","35.5","39.7","25.4","2","0","-100","0.058167","0","-100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01019","AL","Cherokee","13.6","13.3","31.5","33.6","25.4","1","1","0","0.038679","0.038407","-0.702846","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01021","AL","Chilton","10.2","13.3","34.8","35.9","25.4","3","2","-33.333333","0.068991","0.045526","-34.01167","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01023","AL","Choctaw","14.7","18.1","36.5","40.8","25.4","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01025","AL","Clarke","14.1","16.3","36","38.2","25.4","2","3","50","0.076811","0.120265","56.572459","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01027","AL","Clay","13.2","14.6","32.2","37.3","25.4","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01029","AL","Cleburne","11","12.6","28.8","30","25.4","0","1","","0","0.066313","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01031","AL","Coffee","12.1","15.9","32.7","33.7","25.4","5","4","-20","0.101133","0.078572","-22.308433","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01033","AL","Colbert","13.5","18.7","34.7","37.5","25.4","4","6","50","0.073494","0.110005","49.678236","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01035","AL","Conecuh","14.5","17.4","32.1","36.4","25.4","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01037","AL","Coosa","13.2","17.3","33.2","39.7","25.4","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01039","AL","Covington","13.1","14.7","33.8","34","25.4","2","3","50","0.053124","0.079126","48.947618","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01041","AL","Crenshaw","12.6","16.5","33.6","39.7","25.4","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01043","AL","Cullman","11.9","14.4","30.1","33.4","25.4","4","3","-25","0.049782","0.036905","-25.865431","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01045","AL","Dale","13.5","14.1","34.4","36.5","25.4","2","2","0","0.040117","0.040417","0.747716","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01047","AL","Dallas","15.6","19","39.9","40.8","25.4","1","2","100","0.022852","0.047949","109.819952","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01049","AL","DeKalb","11.2","13.4","31.7","30.4","25.4","4","3","-25","0.056446","0.042215","-25.21213","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01051","AL","Elmore","9.9","13.4","29","35.4","25.4","4","4","0","0.05087","0.049397","-2.895884","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01053","AL","Escambia","12.3","17.8","34.4","37.7","25.4","2","2","0","0.052289","0.053004","1.367503","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01055","AL","Etowah","11.6","16.8","30.8","35.1","25.4","9","9","0","0.08634","0.08693","0.683853","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01057","AL","Fayette","12.7","15.1","32.3","33.7","25.4","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01059","AL","Franklin","12.8","13.9","29.5","33.2","25.4","3","3","0","0.09497","0.094934","-0.037973","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01061","AL","Geneva","12.6","13.9","32","34.1","25.4","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01063","AL","Greene","18.2","21","43.7","46.3","25.4","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
