"FIPS","State","County","FFR09","FFR14","PCH_FFR_09_14","FFRPTH09","FFRPTH14","PCH_FFRPTH_09_14","FSR09","FSR14","PCH_FSR_09_14","FSRPTH09","FSRPTH14","PCH_FSRPTH_09_14","PC_FFRSALES07","PC_FFRSALES12","PC_FSRSALES07","PC_FSRSALES12","","","","","","","","","","","","","","","","","","","","","","","","",""
"01001","AL","Autauga","30","36","20","0.55417","0.649878","17.270512","34","29","-14.705882","0.628059","0.523513","-16.64596","649.511367","674.80272","484.381507","512.280987","","","","","","","","","","","","","","","","","","","","","","","","",""
"01003","AL","Baldwin","112","132","17.857143","0.624282","0.659634","5.66275","202","221","9.405941","1.125938","1.104387","-1.914027","649.511367","674.80272","484.381507","512.280987","","","","","","","","","","","","","","","","","","","","","","","","",""
"01005","AL","Barbour","21","22","4.761905","0.759301","0.818239","7.762116","12","15","25","0.433887","0.55789","28.579797","649.511367","674.80272","484.381507","512.280987","","","","","","","","","","","","","","","","","","","","","","","","",""
"01007","AL","Bibb","7","5","-28.571429","0.305131","0.222163","-27.190844","6","5","-16.666667","0.26154","0.222163","-15.055985","649.511367","674.80272","484.381507","512.280987","","","","","","","","","","","","","","","","","","","","","","","","",""
"01009","AL","Blount","24","21","-12.5","0.418549","0.363832","-13.073035","19","15","-21.052632","0.331351","0.25988","-21.569656","649.511367","674.80272","484.381507","512.280987","","","","","","","","","","","","","","","","","","","","","","","","",""
"01011","AL","Bullock","4","3","-25","0.364067","0.278707","-23.44621","2","1","-50","0.182033","0.092902","-48.96414","649.511367","674.80272","484.381507","512.280987","","","","","","","","","","","","","","","","","","","","","","","","",""
"01013","AL","Butler","17","17","0","0.814683","0.837603","2.813362","19","10","-47.368421","0.910529","0.492708","-45.887704","649.511367","674.80272","484.381507","512.280987","","","","","","","","","","","","","","","","","","","","","","","","",""
"01015","AL","Calhoun","95","103","8.421053","0.802616","0.888574","10.709833","67","77","14.925373","0.566055","0.664274","17.351461","649.511367","674.80272","484.381507","512.280987","","","","","","","","","","","","","","","","","","","","","","","","",""
"01017","AL","Chambers","22","26","18.181818","0.639832","0.763","19.250019","19","16","-15.789474","0.552583","0.469539","-15.028327","649.511367","674.80272","484.381507","512.280987","","","","","","","","","","","","","","","","","","","","","","","","",""
"01019","AL","Cherokee","16","15","-6.25","0.61886","0.576103","-6.908918","10","11","10","0.386787","0.422476","9.226869","649.511367","674.80272","484.381507","512.280987","","","","","","","","","","","","","","","","","","","","","","","","",""
"01021","AL","Chilton","23","20","-13.043478","0.52893","0.455259","-13.928265","17","18","5.882353","0.390948","0.409733","4.804995","649.511367","674.80272","484.381507","512.280987","","","","","","","","","","","","","","","","","","","","","","","","",""
"01023","AL","Choctaw","4","6","50","0.286205","0.450349","57.351948","7","5","-28.571429","0.500859","0.375291","-25.070501","649.511367","674.80272","484.381507","512.280987","","","","","","","","","","","","","","","","","","","","","","","","",""
"01025","AL","Clarke","23","26","13.043478","0.883324","1.042293","17.996636","13","15","15.384615","0.49927","0.601323","20.440353","649.511367","674.80272","484.381507","512.280987","","","","","","","","","","","","","","","","","","","","","","","","",""
"01027","AL","Clay","4","4","0","0.285592","0.295159","3.350059","7","6","-14.285714","0.499786","0.442739","-11.414235","649.511367","674.80272","484.381507","512.280987","","","","","","","","","","","","","","","","","","","","","","","","",""
"01029","AL","Cleburne","7","8","14.285714","0.469232","0.530504","13.057977","4","2","-50","0.268132","0.132626","-50.537135","649.511367","674.80272","484.381507","512.280987","","","","","","","","","","","","","","","","","","","","","","","","",""
"01031","AL","Coffee","35","34","-2.857143","0.707929","0.667858","-5.66024","31","28","-9.677419","0.627023","0.550001","-12.283714","649.511367","674.80272","484.381507","512.280987","","","","","","","","","","","","","","","","","","","","","","","","",""
"01033","AL","Colbert","41","52","26.829268","0.753316","0.953376","26.557207","40","38","-5","0.734943","0.696698","-5.203784","649.511367","674.80272","484.381507","512.280987","","","","","","","","","","","","","","","","","","","","","","","","",""
"01035","AL","Conecuh","5","7","40","0.376676","0.552486","46.674033","4","4","0","0.301341","0.315706","4.767167","649.511367","674.80272","484.381507","512.280987","","","","","","","","","","","","","","","","","","","","","","","","",""
"01037","AL","Coosa","0","1","","0","0.091861","","0","0","0","0","0","0","649.511367","674.80272","484.381507","512.280987","","","","","","","","","","","","","","","","","","","","","","","","",""
