"state","county","loaccgro","fasfoo","diab","obesrate","fitplace","medinc","obesrateLevel","clusterNum"
"AK","Dillingham",0.507841894921581,0.0288692637690459,0.193069306930693,0.731843575418994,0,0.270459973205444,"high",4
"AK","Nome",0.555837294441627,0.0733421514132628,0.133663366336634,0.55586592178771,0,0.291808244179951,"low",4
"AK","North Slope",0.585597274144027,0.0371019597031843,0.158415841584158,0.689944134078212,0.125322240164987,0.465409781954449,"low",4
"AK","Northwest Arctic",0.574513214254868,0.00933004792535962,0.158415841584158,0.575418994413408,0,0.299788361842999,"low",4
"AK","Prince of Wales-Hyder",0.316386516836135,0,0.198019801980198,0.653631284916201,0,0.217569850299983,"low",4
"AK","Southeast Fairbanks",0.472767735272323,0.0727167594182659,0.178217821782178,0.594972067039106,0,0.362202201813487,"low",4
"AK","Valdez-Cordova",0.51999904480001,0.113827967089376,0.202970297029703,0.519553072625698,0.256324419238103,0.458293691629614,"low",4
"AL","Autauga",0.320622546793775,0.0376929356984565,0.48019801980198,0.622905027932961,0.109757432195805,0.327029493427567,"low",4
"AL","Jefferson",0.312328756876712,0.0409689356722485,0.48019801980198,0.597765363128492,0.128814593953072,0.247762266275751,"low",4
"AL","Lee",0.262650087373499,0.0508767835929857,0.306930693069307,0.480446927374302,0.0630642242888828,0.228608042249966,"low",4
"AL","Madison",0.264459737355403,0.0464517356283861,0.405940594059406,0.572625698324022,0.170095383088836,0.351659126652816,"low",4
"AL","Montgomery",0.288541107114589,0.0448827836409377,0.504950495049505,0.642458100558659,0.102145268298377,0.191949983496107,"low",4
"AR","Arkansas",0.377712426222876,0.0464665676282675,0.475247524752475,0.614525139664804,0.0653977294836375,0.177513931227307,"low",4
"AR","Chicot",0.603027163969728,0.0128801518969588,0.589108910891089,0.874301675977654,0,0.0686756111294488,"high",4
"AR","Clark",0.409795155902048,0.035081495719348,0.410891089108911,0.628491620111732,0.107725495155454,0.14525367454323,"low",4
"AR","Dallas",0.413239825867602,0.0557059675543523,0.54950495049505,0.681564245810056,0,0.101528066326233,"low",4
"AR","Greene",0.228573547714265,0.0362521437099829,0.475247524752475,0.541899441340782,0.111319992995836,0.204861852707609,"low",4
"AR","Howard",0.411682175883178,0.0426666956586664,0.5,0.667597765363129,0.0900740301179034,0.100042715958294,"low",4
"AR","Lawrence",0.299902717000973,0.0467781116257751,0.49009900990099,0.558659217877095,0,0.11566316525251,"low",4
"AR","Lee",0.453024515469755,0.00730223994158208,0.485148514851485,0.667597765363129,0,0.0542395588606489,"low",4
"AR","Lincoln",0.332127306678727,0.0309234237526126,0.445544554455446,0.717877094972067,0.0870437565664034,0.168164961264392,"high",4
"AR","Miller",0.334289136657109,0.0364741917082065,0.445544554455446,0.673184357541899,0.0560004766722441,0.156408364561288,"low",4
"AR","Newton",0.438544405614556,0.0455465516356276,0.47029702970297,0.625698324022346,0,0.104702638681242,"low",4
"AR","Polk",0.384260376157396,0.0676390314588877,0.524752475247525,0.695530726256983,0.0601239347834546,0.114837970603654,"low",4
"AR","Prairie",0.370288416297116,0.0346821117225431,0.544554455445545,0.684357541899441,0,0.161388656971439,"low",4
"AR","Pulaski",0.266073917339261,0.0636207834910337,0.430693069306931,0.55586592178771,0.133149636172614,0.22890899559249,"low",4
"AR","Randolph",0.320700906792991,0.0409766396721869,0.465346534653465,0.656424581005587,0.207615082298922,0.11490592781003,"low",4
"AR","Saline",0.223242577767574,0.0242656558058748,0.420792079207921,0.578212290502793,0.126098048562201,0.330388521057026,"low",4
