"state","county","loaccgro","fasfoo","relprimilk","diab","obesrate","fitplace","povrate","medinc","males","totpop","area"
"AL","Autauga",32.062255,0.523513,0.970305,13,34.1,0.090261,12.7,56580,26569,54571,594.44
"AL","Baldwin",16.767489,1.104387,1.01769,10.4,27.4,0.124931,12.9,52387,89196,182265,1589.78
"AL","Barbour",22.10556,0.55789,1.136671,18.4,44.4,0,32,31433,14576,27457,884.88
"AL","Bibb",4.230324,0.222163,0.970305,14.8,40.3,0.044433,22.2,40767,12301,22915,622.58
"AL","Blount",6.49738,0.25988,0.970305,14.1,34.6,0.051976,14.7,50487,28362,57322,644.78
"AL","Bullock",37.950342,0.092902,0.970305,19.6,43,0,39.6,28251,5912,10914,622.81
"AL","Butler",6.226805,0.492708,0.970305,17.7,36.3,0.049271,25.8,33868,9838,20947,776.83
"AL","Calhoun",23.433852,0.664274,0.970305,14.9,32.2,0.060389,20,42091,57176,118572,605.87
"AL","Chambers",20.843214,0.469539,0.856724,16.4,39.7,0,22.4,35560,16363,34215,596.53
"AL","Cherokee",0.398332,0.422476,0.856724,13.3,33.6,0.038407,19.4,39144,12888,25989,553.7
"AL","Chilton",3.368007,0.409733,0.970305,13.3,35.9,0.045526,20.2,42767,21608,43643,692.85
"AL","Choctaw",19.502815,0.375291,1.136671,18.1,40.8,0,24.4,35089,6688,13859,913.5
"AL","Clarke",22.114839,0.601323,1.136671,16.3,38.2,0.120265,22.2,37317,12214,25833,1238.47
"AL","Clay",4.613415,0.442739,0.970305,14.6,37.3,0,18.4,38908,6833,13932,603.96
"AL","Cleburne",5.273411,0.132626,0.856724,12.6,30,0.066313,18.9,42136,7453,14972,560.1
"AL","Coffee",20.994006,0.550001,1.136671,15.9,33.7,0.078572,16.2,46858,24684,49948,678.97
"AL","Colbert",20.385953,0.696698,0.970305,18.7,37.5,0.110005,18.1,41171,26159,54428,592.62
"AL","Conecuh",26.900207,0.315706,1.136671,17.4,36.4,0,28.3,29981,6412,13228,850.16
"AL","Coosa",24.516252,0,0.970305,17.3,39.7,0,20.3,36078,5727,11539,650.93
"AL","Covington",9.980464,0.474759,0.970305,14.7,34,0.079126,22.3,36355,18288,37765,1030.46
"AL","Crenshaw",37.96179,0.429277,0.970305,16.5,39.7,0,19.9,36759,6714,13906,608.84
"AL","Cullman",7.338097,0.590486,0.970305,14.4,33.4,0.036905,19.4,39290,39719,80406,734.84
"AL","Dale",27.933713,0.606257,1.136671,14.1,36.5,0.040417,18.5,45294,24825,50251,561.15
"AL","Dallas",17.435091,0.359617,0.970305,19,40.8,0.047949,34.6,29682,20244,43820,978.7
"AL","DeKalb",3.768655,0.43622,0.970305,13.4,30.4,0.042215,20.6,37305,35113,71109,777.09
"AL","Elmore",18.995961,0.469269,0.970305,13.4,35.4,0.049397,14,53548,38689,79303,618.49
"AL","Escambia",13.201742,0.53004,1.136671,17.8,37.7,0.053004,24.4,36840,19766,38319,945.08
"AL","Etowah",22.301855,0.55056,0.970305,16.8,35.1,0.08693,19,42145,50626,104430,534.99
"AL","Fayette",2.362895,0.533365,0.970305,15.1,33.7,0,20.4,37085,8507,17241,627.66
"AL","Franklin",11.55514,0.506313,0.970305,13.9,33.2,0.094934,21.1,38535,15828,31704,633.82
"AL","Geneva",2.259027,0.4118,1.136671,13.9,34.1,0,22.4,36289,13105,26790,574.41
"AL","Greene",32.758331,0.233836,0.970305,21,46.3,0,37.7,25398,4271,9045,647.11
"AL","Hale",11.830846,0.263435,0.970305,16,40.4,0.065859,28.5,35470,7466,15760,643.94
"AL","Henry",4.655372,0.639907,1.136671,18.7,35.8,0,17,42501,8302,17302,561.75
"AL","Houston",18.06134,0.739013,1.136671,13.7,32.8,0.067183,18.3,43568,48740,101547,579.82
"AL","Jackson",7.926366,0.474699,1.136671,14.9,32,0,18.4,40201,26139,53227,1077.87
"AL","Jefferson",31.232876,0.569013,0.970305,13,33.2,0.105933,18,48415,311813,658466,1111.28
"AL","Lamar",1.578911,0.709925,1.136671,14.9,33.6,0,24.7,36520,7097,14564,604.85
"AL","Lauderdale",13.457266,0.751912,0.970305,14.2,32.9,0.096674,17.3,43008,44379,92709,667.7
"AL","Lawrence",4.799919,0.507811,0.970305,15.6,35.5,0.059742,18.7,41771,16791,34339,690.68
